item_nr;prime;all;target;condition
83;bisfuitable;bisfuitable;bisfuitable;non-stem/suffix
84;garpable;garpable;garpable;non-stem/suffix
85;têrement;têrement;têrement;non-stem/suffix
86;traument;traument;traument;non-stem/suffix
87;aipement;aipement;aipement;non-stem/suffix
88;sourifment;sourifment;sourifment;non-stem/suffix
89;lautment;lautment;lautment;non-stem/suffix
90;luvement;luvement;luvement;non-stem/suffix
91;naiteur;naiteur;naiteur;non-stem/suffix
92;nedion;nedion;nedion;non-stem/suffix
93;parmable;parmable;parmable;non-stem/suffix
94;chetalion;chetalion;chetalion;non-stem/suffix
95;poiltment;poiltment;poiltment;non-stem/suffix
96;rauement;rauement;rauement;non-stem/suffix
97;draiteux;draiteux;draiteux;non-stem/suffix
98;julion;julion;julion;non-stem/suffix
99;satlion;satlion;satlion;non-stem/suffix
100;trisorion;trisorion;trisorion;non-stem/suffix
101;selpion;selpion;selpion;non-stem/suffix
102;pisfement;pisfement;pisfement;non-stem/suffix
103;piurrement;piurrement;piurrement;non-stem/suffix
104;fronseux;fronseux;fronseux;non-stem/suffix
105;jaurable;jaurable;jaurable;non-stem/suffix
106;tupisable;tupisable;tupisable;non-stem/suffix
107;teblement;teblement;teblement;non-stem/suffix
108;pomeux;pomeux;pomeux;non-stem/suffix
109;tunfelion;tunfelion;tunfelion;non-stem/suffix
110;muleux;muleux;muleux;non-stem/suffix
111;monpement;monpement;monpement;non-stem/suffix
112;veltable;veltable;veltable;non-stem/suffix
113;bleguement;bleguement;bleguement;non-stem/suffix
114;loufeux;loufeux;loufeux;non-stem/suffix
115;mapieux;mapieux;mapieux;non-stem/suffix
116;dunteur;dunteur;dunteur;non-stem/suffix
117;telpsable;telpsable;telpsable;non-stem/suffix
118;tenfement;tenfement;tenfement;non-stem/suffix
119;brasaste;brasaste;brasaste;stem/non-suffix
120;arbrelot;arbrelot;arbrelot;stem/non-suffix
121;jambelot;jambelot;jambelot;stem/non-suffix
122;balailot;balailot;balailot;stem/non-suffix
123;literge;literge;literge;stem/non-suffix
124;foudrenule;foudrenule;foudrenule;stem/non-suffix
125;sangonne;sangonne;sangonne;stem/non-suffix
126;lettrenule;lettrenule;lettrenule;stem/non-suffix
127;painache;painache;painache;stem/non-suffix
128;seinate;seinate;seinate;stem/non-suffix
129;busuque;busuque;busuque;stem/non-suffix
130;toitipe;toitipe;toitipe;stem/non-suffix
131;glacenule;glacenule;glacenule;stem/non-suffix
132;champonne;champonne;champonne;stem/non-suffix
133;filmuque;filmuque;filmuque;stem/non-suffix
134;volige;volige;volige;stem/non-suffix
135;hallache;hallache;hallache;stem/non-suffix
