ID,Words,POS,word_num,Prob of coming after,Prob of coming bef,Condition,,POSbef,Probbef,,POSaft,Probaft
52,posée,VER,4,0.067543454,,normal,,,,,,
53,cet,PRO,1,,0.004197531,normal,,,,,,
53,homme,NOU,2,0.003566334,0.024923632,normal,,,,,,
53,est,VER,3,0.032714167,0.029218107,normal,,,,,,
53,vivant,NOU,4,0.040843302,,normal,,,,,,
54,ils,PRO,1,,0.766592613,normal,,,,,,
54,rient,VER,2,0.656324299,0.26322682,normal,,,,,,
54,avec,PRP,3,0.132839865,0.04052333,normal,,,,,,
54,lui,PRO,4,0.089536966,,normal,,,,,,
55,ses,DET,1,,0.555390947,normal,,,,,,
55,faons,NOU,2,0.790606201,0.024923632,normal,,,,,,
55,sont,VER,3,0.032714167,0.029218107,normal,,,,,,
55,plats,NOU,4,0.040843302,,normal,,,,,,
56,notre,DET,1,,0.555390947,normal,,,,,,
56,jour,NOU,2,0.790606201,0.024923632,normal,,,,,,
56,est,VER,3,0.032714167,0.430972389,normal,,,,,,
56,bien,ADV,4,0.237261252,,normal,,,,,,
57,elle,PRO,1,,0.766592613,normal,,,,,,
57,prend,VER,2,0.656324299,0.346851145,normal,,,,,,
57,mon,DET,3,0.192188223,0.555390947,normal,,,,,,
57,stylo,NOU,4,0.790606201,,normal,,,,,,
58,elle,PRO,1,,0.766592613,normal,,,,,,
58,dort,VER,2,0.656324299,0.430972389,normal,,,,,,
58,très,ADV,3,0.237261252,0.1484994,normal,,,,,,
58,bien,ADV,4,0.142873643,,normal,,,,,,
59,leur,DET,1,,0.555390947,normal,,,,,,
59,lime,NOU,2,0.790606201,0.024923632,normal,,,,,,
59,est,VER,3,0.032714167,0.241223404,normal,,,,,,
59,belle,ADJ,4,0.042561628,,normal,,,,,,
60,il,PRO,1,,0.766592613,normal,,,,,,
60,dort,VER,2,0.656324299,0.430972389,normal,,,,,,
60,très,ADV,3,0.237261252,0.1484994,normal,,,,,,
60,fort,ADV,4,0.142873643,,normal,,,,,,
61,son,DET,1,,0.555390947,normal,,,,,,
61,frère,NOU,2,0.790606201,0.024923632,normal,,,,,,
61,est,VER,3,0.032714167,0.430972389,normal,,,,,,
61,ici,ADV,4,0.237261252,,normal,,,,,,
62,notre,DET,1,,0.555390947,normal,,,,,,
62,soeur,NOU,2,0.790606201,0.024923632,normal,,,,,,
62,est,VER,3,0.032714167,0.070952513,normal,,,,,,
62,levée,VER,4,0.067543454,,normal,,,,,,
63,ces,PRO,1,,0.004197531,normal,,,,,,
63,gens,NOU,2,0.003566334,0.024923632,normal,,,,,,
63,vont,VER,3,0.032714167,0.430972389,normal,,,,,,
63,vite,ADV,4,0.237261252,,normal,,,,,,
64,cette,PRO,1,,0.004197531,normal,,,,,,
64,poire,NOU,2,0.003566334,0.024923632,normal,,,,,,
64,est,VER,3,0.032714167,0.241223404,normal,,,,,,
64,bonne,ADJ,4,0.042561628,,normal,,,,,,
65,elle,PRO,1,,0.766592613,normal,,,,,,
65,rêve,VER,2,0.656324299,0.26322682,normal,,,,,,
65,avec,PRP,3,0.132839865,0.04052333,normal,,,,,,
65,lui,PRO,4,0.089536966,,normal,,,,,,
66,elle,PRO,1,,0.261433368,normal,,,,,,
66,leur,PRO,2,0.268426058,0.766592613,normal,,,,,,
66,avait,VER,3,0.656324299,0.070952513,normal,,,,,,
66,dit,VER,4,0.067543454,,normal,,,,,,
67,dis,VER,1,,0.123769827,normal,,,,,,
67,lui,PRO,2,0.141299319,0.028810896,normal,,,,,,
67,sans,PRP,3,0.013076557,0.020288115,normal,,,,,,
67,vice,ADV,4,0.021616782,,normal,,,,,,
68,range,VER,1,,0.430972389,normal,,,,,,
68,bien,ADV,2,0.237261252,0.098520992,normal,,,,,,
68,ton,DET,3,0.095403095,0.555390947,normal,,,,,,
68,sac,NOU,4,0.790606201,,normal,,,,,,
69,il,PRO,1,,0.766592613,normal,,,,,,
69,jette,VER,2,0.656324299,0.26322682,normal,,,,,,
69,du,PRP,3,0.132839865,0.228559671,normal,,,,,,
69,sel,NOU,4,0.39370683,,normal,,,,,,
70,très,ADV,1,,0.1484994,normal,,,,,,
70,peu,ADV,2,0.142873643,0.156888423,normal,,,,,,
70,sans,PRP,3,0.138369138,0.228559671,normal,,,,,,
70,poivre,NOU,4,0.39370683,,normal,,,,,,
71,elle,PRO,1,,0.766592613,normal,,,,,,
71,mange,VER,2,0.656324299,0.26322682,normal,,,,,,
71,sans,PRP,3,0.132839865,0.228559671,normal,,,,,,
71,pain,NOU,4,0.39370683,,normal,,,,,,
72,des,PRP,1,,0.228559671,normal,,,,,,
72,poils,NOU,2,0.39370683,0.350969094,normal,,,,,,
72,aux,PRP,3,0.241105258,0.228559671,normal,,,,,,
72,mains,NOU,4,0.39370683,,normal,,,,,,
73,bois,VER,1,,0.430972389,normal,,,,,,
73,vite,ADV,2,0.237261252,0.098520992,normal,,,,,,
73,son,DET,3,0.095403095,0.555390947,normal,,,,,,
73,vin,NOU,4,0.790606201,,normal,,,,,,
74,quand,CON,1,,0.172860947,normal,,,,,,
74,il,PRO,2,0.502608988,0.766592613,normal,,,,,,
74,fait,VER,3,0.656324299,0.241223404,normal,,,,,,
74,froid,ADJ,4,0.042561628,,normal,,,,,,
75,ces,PRO,1,,0.004197531,normal,,,,,,
75,jours,NOU,2,0.003566334,0.024923632,normal,,,,,,
75,sont,VER,3,0.032714167,0.241223404,normal,,,,,,
75,longs,ADJ,4,0.042561628,,normal,,,,,,
76,prend,VER,1,,0.346851145,normal,,,,,,
76,ton,DET,2,0.192188223,0.555390947,normal,,,,,,
76,stylo,NOU,3,0.790606201,0.202393617,normal,,,,,,
76,bleu,ADJ,4,0.050827095,,normal,,,,,,
77,une,DET,1,,0.555390947,normal,,,,,,
77,pelle,NOU,2,0.790606201,0.154021609,normal,,,,,,
77,très,ADV,3,0.115516126,0.161170213,normal,,,,,,
77,utile,ADJ,4,0.062832063,,normal,,,,,,
78,belle,ADJ,1,,0.056296296,normal,,,,,,
78,femme,NOU,2,0.414676259,0.147968044,normal,,,,,,
78,qui,PRO,3,0.231217078,0.766592613,normal,,,,,,
78,parla,VER,4,0.656324299,,normal,,,,,,
79,voir,VER,1,,0.346851145,normal,,,,,,
79,mon,DET,2,0.192188223,0.211702128,normal,,,,,,
79,petit,ADJ,3,0.082137899,0.056296296,normal,,,,,,
79,frère,NOU,4,0.414676259,,normal,,,,,,
80,dans,PRP,1,,0.274689885,normal,,,,,,
80,notre,DET,2,0.294576618,0.555390947,normal,,,,,,
80,mer,NOU,3,0.790606201,0.024923632,normal,,,,,,
80,calme,VER,4,0.032714167,,normal,,,,,,
81,leur,DET,1,,0.555390947,normal,,,,,,
81,mur,NOU,2,0.790606201,0.024923632,normal,,,,,,
81,est,VER,3,0.032714167,0.241223404,normal,,,,,,
81,triste,ADJ,4,0.042561628,,normal,,,,,,
82,cette,PRO,1,,0.004197531,normal,,,,,,
82,date,NOU,2,0.003566334,0.024923632,normal,,,,,,
82,est,VER,3,0.032714167,0.029218107,normal,,,,,,
82,prise,NOU,4,0.040843302,,normal,,,,,,
83,elle,PRO,1,,0.766592613,normal,,,,,,
83,dina,VER,2,0.656324299,0.26322682,normal,,,,,,
83,chez,PRP,3,0.132839865,0.04052333,normal,,,,,,
83,lui,PRO,4,0.089536966,,normal,,,,,,
84,pour,PRP,1,,0.058039433,normal,,,,,,
84,dire,VER,2,0.106932719,0.346851145,normal,,,,,,
84,une,DET,3,0.192188223,0.555390947,normal,,,,,,
84,chose,NOU,4,0.790606201,,normal,,,,,,
85,ces,PRO,1,,0.004197531,normal,,,,,,
85,bouts,NOU,2,0.003566334,0.024923632,normal,,,,,,
85,sont,VER,3,0.032714167,0.070952513,normal,,,,,,
85,cuits,VER,4,0.067543454,,normal,,,,,,
86,notre,DET,1,,0.555390947,normal,,,,,,
86,club,NOU,2,0.790606201,0.024923632,normal,,,,,,
86,est,VER,3,0.032714167,0.070952513,normal,,,,,,
86,fermé,VER,4,0.067543454,,normal,,,,,,
87,elle,PRO,1,,0.766592613,normal,,,,,,
87,mange,VER,2,0.656324299,0.26322682,normal,,,,,,
87,des,PRP,3,0.132839865,0.228559671,normal,,,,,,
87,cèpes,NOU,4,0.39370683,,normal,,,,,,
88,gros,ADJ,1,,0.056296296,normal,,,,,,
88,choc,NOU,2,0.414676259,0.154021609,normal,,,,,,
88,hier,ADV,3,0.115516126,0.014567901,normal,,,,,,
88,soir,NOU,4,0.027604528,,normal,,,,,,
89,une,DET,1,,0.211702128,normal,,,,,,
89,belle,ADJ,2,0.082137899,0.056296296,normal,,,,,,
89,lèvre,NOU,3,0.414676259,0.202393617,normal,,,,,,
89,béate,ADJ,4,0.050827095,,normal,,,,,,
90,son,DET,1,,0.555390947,normal,,,,,,
90,avis,NOU,2,0.790606201,0.024923632,normal,,,,,,
90,est,VER,3,0.032714167,0.241223404,normal,,,,,,
90,utile,ADJ,4,0.042561628,,normal,,,,,,
91,elle,PRO,1,,0.766592613,normal,,,,,,
91,arma,VER,2,0.656324299,0.346851145,normal,,,,,,
91,son,DET,3,0.192188223,0.555390947,normal,,,,,,
91,canon,NOU,4,0.790606201,,normal,,,,,,
92,gros,ADJ,1,,0.056296296,normal,,,,,,
92,bobo,NOU,2,0.414676259,0.350969094,normal,,,,,,
92,aux,PRP,3,0.241105258,0.228559671,normal,,,,,,
92,pieds,NOU,4,0.39370683,,normal,,,,,,
93,notre,DET,1,,0.555390947,normal,,,,,,
93,ange,NOU,2,0.790606201,0.024923632,normal,,,,,,
93,est,VER,3,0.032714167,0.070952513,normal,,,,,,
93,passé,VER,4,0.067543454,,normal,,,,,,
94,cet,PRO,1,,0.004197531,normal,,,,,,
94,anus,NOU,2,0.003566334,0.024923632,normal,,,,,,
94,est,VER,3,0.032714167,0.070952513,normal,,,,,,
94,lavé,VER,4,0.067543454,,normal,,,,,,
95,comme,ADV,1,,0.122148894,normal,,,,,,
95,cette,PRO,2,0.243705244,0.004197531,normal,,,,,,
95,pomme,NOU,3,0.003566334,0.202393617,normal,,,,,,
95,amère,ADJ,4,0.050827095,,normal,,,,,,
96,son,DET,1,,0.211702128,normal,,,,,,
96,amie,ADJ,2,0.082137899,0.056296296,normal,,,,,,
96,danse,NOU,3,0.414676259,0.154021609,normal,,,,,,
96,bien,ADV,4,0.115516126,,normal,,,,,,
97,tu,PRO,1,,0.766592613,normal,,,,,,
97,aimes,VER,2,0.656324299,0.430972389,normal,,,,,,
97,bien,ADV,3,0.237261252,0.06095529,normal,,,,,,
97,vivre,VER,4,0.101409101,,normal,,,,,,
98,ils,PRO,1,,0.261433368,normal,,,,,,
98,vous,PRO,2,0.268426058,0.766592613,normal,,,,,,
98,ont,VER,3,0.656324299,0.070952513,normal,,,,,,
98,dit,VER,4,0.067543454,,normal,,,,,,
99,nous,PRO,1,,0.766592613,normal,,,,,,
99,fûmes,VER,2,0.656324299,0.241223404,normal,,,,,,
99,bons,ADJ,3,0.042561628,0.056296296,normal,,,,,,
99,amis,NOU,4,0.414676259,,normal,,,,,,
100,elle,PRO,1,,0.766592613,normal,,,,,,
100,aima,VER,2,0.656324299,0.346851145,normal,,,,,,
100,son,DET,3,0.192188223,0.555390947,normal,,,,,,
100,amant,NOU,4,0.790606201,,normal,,,,,,
101,elle,PRO,1,,0.766592613,normal,,,,,,
101,crève,VER,2,0.656324299,0.123769827,normal,,,,,,
101,cet,PRO,3,0.141299319,0.004197531,normal,,,,,,
101,abcès,NOU,4,0.003566334,,normal,,,,,,
102,tout,ADV,1,,0.122148894,normal,,,,,,
102,ces,PRO,2,0.243705244,0.004787234,normal,,,,,,
102,jolis,ADJ,3,0.00053495,0.001457928,normal,,,,,,
102,abats,VER,4,0.007482014,,normal,,,,,,
103,bien,ADV,1,,0.156888423,normal,,,,,,
103,dans,PRP,2,0.138369138,0.274689885,normal,,,,,,
103,son,DET,3,0.294576618,0.555390947,normal,,,,,,
103,abri,NOU,4,0.790606201,,normal,,,,,,
104,son,DET,1,,0.555390947,normal,,,,,,
104,rêve,NOU,2,0.790606201,0.024923632,normal,,,,,,
104,fut,VER,3,0.032714167,0.241223404,normal,,,,,,
104,beau,ADJ,4,0.042561628,,normal,,,,,,
105,cette,PRO,1,,0.004197531,normal,,,,,,
