item_nr,all,flanker_type,lexicality,condition
400,bain bain bain,related,word,word/related
401,sexy lait sexy,unrelated,word,word/unrelated
402,perd fuit perd,unrelated,word,word/unrelated
403,aide flux aide,unrelated,word,word/unrelated
404,idem jury idem,unrelated,word,word/unrelated
405,plat fier plat,unrelated,word,word/unrelated
406,rive faut rive,unrelated,word,word/unrelated
407,cerf gain cerf,unrelated,word,word/unrelated
408,lion huer lion,unrelated,word,word/unrelated
409,sale dort sale,unrelated,word,word/unrelated
410,juin labo juin,unrelated,word,word/unrelated
411,dame folk dame,unrelated,word,word/unrelated
412,pied haut pied,unrelated,word,word/unrelated
413,cour gaie cour,unrelated,word,word/unrelated
414,bout haie bout,unrelated,word,word/unrelated
415,rame foin rame,unrelated,word,word/unrelated
416,sort fade sort,unrelated,word,word/unrelated
417,voix grue voix,unrelated,word,word/unrelated
418,eaux fini eaux,unrelated,word,word/unrelated
419,mise four mise,unrelated,word,word/unrelated
420,muet golf muet,unrelated,word,word/unrelated
421,prie judo prie,unrelated,word,word/unrelated
422,moue kaki moue,unrelated,word,word/unrelated
423,brun foie brun,unrelated,word,word/unrelated
424,jupe info jupe,unrelated,word,word/unrelated
425,faux hier faux,unrelated,word,word/unrelated
426,ment drap ment,unrelated,word,word/unrelated
427,chat dure chat,unrelated,word,word/unrelated
428,flot gage flot,unrelated,word,word/unrelated
429,crie dont crie,unrelated,word,word/unrelated
430,rude gant rude,unrelated,word,word/unrelated
431,suit elle suit,unrelated,word,word/unrelated
432,vert donc vert,unrelated,word,word/unrelated
433,peur doit peur,unrelated,word,word/unrelated
434,dort exil dort,unrelated,word,word/unrelated
435,bien foot bien,unrelated,word,word/unrelated
436,unie flot unie,unrelated,word,word/unrelated
437,sept irai sept,unrelated,word,word/unrelated
438,rime font rime,unrelated,word,word/unrelated
439,lait joue lait,unrelated,word,word/unrelated
440,nage flic nage,unrelated,word,word/unrelated
441,bloc idem bloc,unrelated,word,word/unrelated
442,sait jeux sait,unrelated,word,word/unrelated
443,flan ivre flan,unrelated,word,word/unrelated
444,pure laid pure,unrelated,word,word/unrelated
445,soit duel soit,unrelated,word,word/unrelated
446,chef joli chef,unrelated,word,word/unrelated
447,trot jupe trot,unrelated,word,word/unrelated
448,pote hall pote,unrelated,word,word/unrelated
449,dose fait dose,unrelated,word,word/unrelated
450,vase kilo vase,unrelated,word,word/unrelated
451,cuit gare cuit,unrelated,word,word/unrelated
452,vice dodo vice,unrelated,word,word/unrelated
453,tout fine tout,unrelated,word,word/unrelated
454,tige faux tige,unrelated,word,word/unrelated
455,jeep flan jeep,unrelated,word,word/unrelated
456,acte jour acte,unrelated,word,word/unrelated
457,elle huit elle,unrelated,word,word/unrelated
458,juif lard juif,unrelated,word,word/unrelated
459,sauf grec sauf,unrelated,word,word/unrelated
460,azur joie azur,unrelated,word,word/unrelated
461,mort lave mort,unrelated,word,word/unrelated
462,tort fixe tort,unrelated,word,word/unrelated
463,lier fond lier,unrelated,word,word/unrelated
464,bail feux bail,unrelated,word,word/unrelated
465,taxi jure taxi,unrelated,word,word/unrelated
466,base fort base,unrelated,word,word/unrelated
467,tome juin tome,unrelated,word,word/unrelated
468,user faim user,unrelated,word,word/unrelated
469,camp dune camp,unrelated,word,word/unrelated
470,zoom dite zoom,unrelated,word,word/unrelated
471,luxe gang luxe,unrelated,word,word/unrelated
472,clip dose clip,unrelated,word,word/unrelated
473,taxe film taxe,unrelated,word,word/unrelated
474,cent doux cent,unrelated,word,word/unrelated
475,muni face muni,unrelated,word,word/unrelated
476,nord eaux nord,unrelated,word,word/unrelated
477,rond juge rond,unrelated,word,word/unrelated
478,nuit expo nuit,unrelated,word,word/unrelated
479,naze fuir naze,unrelated,word,word/unrelated
480,note juif note,unrelated,word,word/unrelated
