ID,Position,Words,POS,POS after,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft
98,2,gaan,VER,VER,congruent,0.175068744,0.175068744,,,,,,
98,3,doet,VER,VER,congruent,0.175068744,,,,,,,
99,1,leef,VER,VER,congruent,,0.175068744,,,,,,
99,2,rent,VER,VER,congruent,0.175068744,0.175068744,,,,,,
99,3,leef,VER,VER,congruent,0.175068744,,,,,,,
100,1,hief,VER,VER,congruent,,0.175068744,,,,,,
100,2,hang,VER,VER,congruent,0.175068744,0.175068744,,,,,,
100,3,hief,VER,VER,congruent,0.175068744,,,,,,,
101,1,laat,VER,NOU,incongruent,,0.086541399,,,,,,
101,2,zicht,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
101,3,laat,VER,VER,incongruent,0.232890315,,,,,,,
102,1,maak,VER,NOU,incongruent,,0.086541399,,,,,,
102,2,brug,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
102,3,maak,VER,VER,incongruent,0.232890315,,,,,,,
103,1,baar,VER,NOU,incongruent,,0.086541399,,,,,,
103,2,eend,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
103,3,baar,VER,VER,incongruent,0.232890315,,,,,,,
104,1,blijf,VER,NOU,incongruent,,0.086541399,,,,,,
104,2,auto,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
104,3,blijf,VER,VER,incongruent,0.232890315,,,,,,,
105,1,gunde,VER,NOU,incongruent,,0.086541399,,,,,,
105,2,grot,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
105,3,gunde,VER,VER,incongruent,0.232890315,,,,,,,
106,1,reeg,VER,NOU,incongruent,,0.086541399,,,,,,
106,2,lijst,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
106,3,reeg,VER,VER,incongruent,0.232890315,,,,,,,
107,1,zinde,VER,NOU,incongruent,,0.086541399,,,,,,
107,2,broek,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
107,3,zinde,VER,VER,incongruent,0.232890315,,,,,,,
108,1,moet,VER,NOU,incongruent,,0.086541399,,,,,,
108,2,hand,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
108,3,moet,VER,VER,incongruent,0.232890315,,,,,,,
109,1,zwalk,VER,NOU,incongruent,,0.086541399,,,,,,
109,2,kern,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
109,3,zwalk,VER,VER,incongruent,0.232890315,,,,,,,
110,1,geef,VER,NOU,incongruent,,0.086541399,,,,,,
110,2,kaars,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
110,3,geef,VER,VER,incongruent,0.232890315,,,,,,,
111,1,gewed,VER,NOU,incongruent,,0.086541399,,,,,,
111,2,zaal,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
111,3,gewed,VER,VER,incongruent,0.232890315,,,,,,,
112,1,rent,VER,NOU,incongruent,,0.086541399,,,,,,
112,2,slak,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
112,3,rent,VER,VER,incongruent,0.232890315,,,,,,,
113,1,zijn,VER,NOU,incongruent,,0.086541399,,,,,,
113,2,zalm,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
113,3,zijn,VER,VER,incongruent,0.232890315,,,,,,,
114,1,bent,VER,NOU,incongruent,,0.086541399,,,,,,
114,2,wrak,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
114,3,bent,VER,VER,incongruent,0.232890315,,,,,,,
115,1,zend,VER,NOU,incongruent,,0.086541399,,,,,,
115,2,lava,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
115,3,zend,VER,VER,incongruent,0.232890315,,,,,,,
116,1,word,VER,NOU,incongruent,,0.086541399,,,,,,
116,2,stand,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
116,3,word,VER,VER,incongruent,0.232890315,,,,,,,
117,1,laak,VER,NOU,incongruent,,0.086541399,,,,,,
117,2,ewrt,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
117,3,laak,VER,VER,incongruent,0.232890315,,,,,,,
118,1,woon,VER,NOU,incongruent,,0.086541399,,,,,,
118,2,pees,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
118,3,woon,VER,VER,incongruent,0.232890315,,,,,,,
119,1,leef,VER,NOU,incongruent,,0.086541399,,,,,,
119,2,hond,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
119,3,leef,VER,VER,incongruent,0.232890315,,,,,,,
120,1,belde,VER,NOU,incongruent,,0.086541399,,,,,,
120,2,stank,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
120,3,belde,VER,VER,incongruent,0.232890315,,,,,,,
121,1,stook,VER,NOU,incongruent,,0.086541399,,,,,,
121,2,naam,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
121,3,stook,VER,VER,incongruent,0.232890315,,,,,,,
122,1,hang,VER,NOU,incongruent,,0.086541399,,,,,,
122,2,boon,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
122,3,hang,VER,VER,incongruent,0.232890315,,,,,,,
123,1,werd,VER,NOU,incongruent,,0.086541399,,,,,,
123,2,snot,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
123,3,werd,VER,VER,incongruent,0.232890315,,,,,,,
124,1,klikt,VER,NOU,incongruent,,0.086541399,,,,,,
124,2,beton,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
124,3,klikt,VER,VER,incongruent,0.232890315,,,,,,,
125,1,zegt,VER,NOU,incongruent,,0.086541399,,,,,,
125,2,huis,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
125,3,zegt,VER,VER,incongruent,0.232890315,,,,,,,
126,1,laaf,VER,NOU,incongruent,,0.086541399,,,,,,
126,2,stro,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
126,3,laaf,VER,VER,incongruent,0.232890315,,,,,,,
127,1,snap,VER,NOU,incongruent,,0.086541399,,,,,,
127,2,takje,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
127,3,snap,VER,VER,incongruent,0.232890315,,,,,,,
128,1,leef,VER,NOU,incongruent,,0.086541399,,,,,,
128,2,kurk,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
128,3,leef,VER,VER,incongruent,0.232890315,,,,,,,
129,1,loos,VER,NOU,incongruent,,0.086541399,,,,,,
129,2,klank,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
129,3,loos,VER,VER,incongruent,0.232890315,,,,,,,
130,1,raak,VER,NOU,incongruent,,0.086541399,,,,,,
130,2,huig,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
130,3,raak,VER,VER,incongruent,0.232890315,,,,,,,
131,1,drijf,VER,NOU,incongruent,,0.086541399,,,,,,
131,2,worp,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
131,3,drijf,VER,VER,incongruent,0.232890315,,,,,,,
132,1,waak,VER,NOU,incongruent,,0.086541399,,,,,,
132,2,ster,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
132,3,waak,VER,VER,incongruent,0.232890315,,,,,,,
133,1,dool,VER,NOU,incongruent,,0.086541399,,,,,,
133,2,wang,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
133,3,dool,VER,VER,incongruent,0.232890315,,,,,,,
134,1,breek,VER,NOU,incongruent,,0.086541399,,,,,,
134,2,poos,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
134,3,breek,VER,VER,incongruent,0.232890315,,,,,,,
135,1,lukt,VER,NOU,incongruent,,0.086541399,,,,,,
135,2,arend,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
135,3,lukt,VER,VER,incongruent,0.232890315,,,,,,,
136,1,stond,VER,NOU,incongruent,,0.086541399,,,,,,
136,2,vrouw,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
136,3,stond,VER,VER,incongruent,0.232890315,,,,,,,
137,1,ween,VER,NOU,incongruent,,0.086541399,,,,,,
137,2,hout,NOU,VER,incongruent,0.112859847,0.30371551,,,,,,
137,3,ween,VER,VER,incongruent,0.232890315,,,,,,,
