FFDr	FFDp	SFD	GZD	TVT	SKP	nfp	nsp	nap	s1	s2	nlett1	ISL	OSL	f	pred	ILP	haveFixation	haveFirstPass
0	0	0	178	178	0	1	0	1	0	0	5	7.42825	0	5.912923	0.430769	0	1	1
0	0	0	0	0	0	0	0	0	0	0	6	0	0	2.509203	0.107692	0	0	0
0	0	0	216	216	0	0	0	0	0	0	4	0	4.747549	3.771808	0	0	1	1
134	0	134	134	134	0	1	0	1	0	0	6	4.747549	6.638897	4.171522	0.111111	0.165831571428571	1	1
118	118	0	248	248	0	2	0	2	0	0	5	6.638897	5.562483	5.2925	0.291667	0.133286333333333	1	1
164	0	164	164	164	0	1	0	1	0	1	8	5.562483	10.119456	3.948804	0	0.582768777777778	1	1
0	0	0	0	0	0	0	0	0	0	0	5	0	0	5.39066	0.236111	0	0	0
240	240	0	524	524	0	2	0	2	1	0	9	10.119456	9.012677	2.98945	0.027778	0.0364375	1	1
200	0	200	200	200	0	1	0	1	0	1	5	9.012677	10.613894	4.226368	0.041667	0.879597166666667	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.840556	0.347222	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.475158	0.555556	0	0	0
0	0	0	176	176	0	0	0	0	1	0	6	10.613894	0	4.220187	0.25	0	1	1
0	0	0	246	246	0	0	0	0	0	1	3	0	7.023011	4.509324	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.784187	0.016949	0	0	0
130	0	130	130	130	0	1	0	1	1	0	4	7.023011	5.588211	4.265714	0.050847	0.2815128	1	1
142	0	142	142	142	0	1	0	1	0	0	4	5.588211	8.3155	4.422934	0.050847	0.399155	1	1
204	0	204	204	204	0	1	0	1	0	0	7	8.3155	7.5103	3.821645	0	0.663909375	1	1
146	0	146	146	146	0	1	0	1	0	0	4	7.5103	5.666931	5.902784	0.576271	0.964315	1	1
58	0	58	58	58	0	1	0	1	0	0	8	5.666931	7.467296	4.798823	0.016949	0.609834	1	1
158	0	158	158	158	0	1	0	1	0	1	3	7.467296	6.599452	5.544486	0.101695	0.9889505	1	1
0	0	0	0	0	0	0	0	0	0	0	5	0	0	4.611691	0.474576	0	0	0
0	0	0	92	92	0	0	0	0	0	0	5	6.599452	0	4.745528	0.983051	0	1	1
0	0	0	316	316	0	0	0	0	0	0	3	0	6.13763	5.425435	0.212121	0	1	1
154	0	154	154	154	0	1	0	1	0	0	4	6.13763	3.499884	4.140759	0.015152	0.8835282	1	1
136	0	136	136	136	0	1	0	1	0	1	4	3.499884	8.601806	4.289009	0.151515	0.583505	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	4.713667	0.424242	0	0	0
244	0	244	244	244	0	1	0	1	1	1	3	8.601806	6.504824	5.878413	0.075758	0.37983275	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.893774	0	0	0	0
138	0	138	138	138	0	1	0	1	1	0	3	6.504824	6.284622	5.83478	0.287879	0.00603875	1	1
