Words,Lg10CD,dominant.pos,POS
film,3.3312,N,NOU
muziek,3.3308,N,NOU
schuldig,3.3308,ADJ,ADJ
gooi,3.3308,WW,VER
rot,3.3306,WW,VER
herinneren,3.3306,WW,VER
gefeliciteerd,3.3304,WW,VER
haast,3.3302,BW,ADV
bleef,3.3298,WW,VER
weggaan,3.3284,WW,VER
situatie,3.3274,N,NOU
diep,3.3272,ADJ,ADJ
slechts,3.3269,BW,ADV
geweldige,3.3259,ADJ,ADJ
spreekt,3.3257,WW,VER
warm,3.3257,ADJ,ADJ
stierf,3.3255,WW,VER
beloofd,3.3249,WW,VER
teken,3.3247,N,NOU
regels,3.3245,N,NOU
gezet,3.3243,WW,VER
daarvan,3.3226,BW,ADV
enkel,3.3216,BW,ADV
goedemorgen,3.3201,N,NOU
tijdje,3.3201,N,NOU
stem,3.3197,N,NOU
totdat,3.3195,VG,CON
helaas,3.3176,BW,ADV
belde,3.3174,WW,VER
aarde,3.317,N,NOU
meeste,3.317,VNW,PRO
gisteravond,3.3156,BW,ADV
punt,3.3139,N,NOU
kwalijk,3.3132,ADJ,ADJ
gevallen,3.3128,WW,VER
sluit,3.3126,WW,VER
gevangenis,3.3118,N,NOU
ruimte,3.3109,N,NOU
heerlijk,3.3105,ADJ,ADJ
persoonlijk,3.3103,ADJ,ADJ
hel,3.3088,N,NOU
respect,3.3075,N,NOU
gebroken,3.3062,WW,VER
alweer,3.3062,BW,ADV
spel,3.3049,N,NOU
gelezen,3.3045,WW,VER
bereiken,3.3045,WW,VER
sneller,3.3034,ADJ,ADJ
mam,3.3028,N,NOU
ophouden,3.3025,WW,VER
dame,3.3023,N,NOU
pa,3.301,N,NOU
hopelijk,3.3008,ADJ,ADJ
meestal,3.3004,BW,ADV
wapens,3.3002,N,NOU
slaat,3.3002,WW,VER
controle,3.2984,N,NOU
leeg,3.2982,ADJ,ADJ
team,3.2975,N,NOU
neus,3.2975,N,NOU
doel,3.2971,N,NOU
foto's,3.2962,N,NOU
feest,3.2962,N,NOU
interessant,3.2958,ADJ,ADJ
verdwenen,3.2953,WW,VER
verleden,3.2951,N,NOU
rijk,3.294,ADJ,ADJ
beide,3.294,VNW,PRO
laatst,3.294,BW,ADV
leiden,3.2938,WW,VER
vannacht,3.2934,BW,ADV
drink,3.2931,WW,VER
hoog,3.292,ADJ,ADJ
excuseer,3.2911,WW,VER
knap,3.2911,ADJ,ADJ
bekijken,3.2905,WW,VER
vliegen,3.2903,WW,VER
macht,3.2894,N,NOU
raakt,3.2894,WW,VER
benen,3.2885,N,NOU
bezoek,3.2885,N,NOU
vreemde,3.2878,ADJ,ADJ
dansen,3.2865,WW,VER
t,3.2862,N,NOU
red,3.286,WW,VER
meenemen,3.286,WW,VER
gelukt,3.2858,WW,VER
draai,3.2856,WW,VER
direct,3.2847,ADJ,ADJ
bracht,3.2847,WW,VER
haalt,3.2844,WW,VER
geest,3.2838,N,NOU
speel,3.2831,WW,VER
plannen,3.2831,N,NOU
meegenomen,3.2826,WW,VER
gekocht,3.2819,WW,VER
zaten,3.2817,WW,VER
extra,3.2815,ADJ,ADJ
donker,3.2813,ADJ,ADJ
iedere,3.2806,VNW,PRO
keuze,3.2806,N,NOU
raam,3.2804,N,NOU
ach,3.279,INT,INT
dronken,3.2783,ADJ,ADJ
liefje,3.2769,N,NOU
tuurlijk,3.2765,BW,ADV
eer,3.2758,N,NOU
keus,3.2753,N,NOU
ziel,3.2742,N,NOU
lijn,3.2742,N,NOU
tv,3.2739,N,NOU
gehaald,3.2735,WW,VER
geregeld,3.2732,WW,VER
verdienen,3.2728,WW,VER
eraf,3.2725,BW,ADV
uiteindelijk,3.2721,ADJ,ADJ
kalm,3.2711,ADJ,ADJ
gesprek,3.2704,N,NOU
blijkbaar,3.2702,ADJ,ADJ
stelt,3.2695,WW,VER
betaal,3.269,WW,VER
kiezen,3.2683,WW,VER
aandacht,3.2681,N,NOU
hangen,3.2681,WW,VER
gewonnen,3.2679,WW,VER
lijk,3.2676,N,NOU
gehouden,3.2674,WW,VER
ouwe,3.2651,ADJ,ADJ
verdient,3.2643,WW,VER
meter,3.2639,N,NOU
verrassing,3.2632,N,NOU
helft,3.2629,N,NOU
hiermee,3.2629,BW,ADV
groep,3.2627,N,NOU
vonden,3.2627,WW,VER
sluiten,3.2625,WW,VER
dromen,3.2622,N,NOU
rennen,3.262,WW,VER
draagt,3.262,WW,VER
woon,3.2608,WW,VER
oog,3.2601,N,NOU
lees,3.2601,WW,VER
belachelijk,3.2596,ADJ,ADJ
m,3.2586,N,NOU
broek,3.2586,N,NOU
liegen,3.2584,WW,VER
nek,3.2579,N,NOU
meest,3.2572,VNW,PRO
ongelooflijk,3.2562,ADJ,ADJ
negen,3.2558,ADJ,ADJ
opschieten,3.2558,WW,VER
advocaat,3.255,N,NOU
zon,3.255,N,NOU
vuile,3.2548,ADJ,ADJ
prachtige,3.2545,ADJ,ADJ
relatie,3.2541,N,NOU
gewond,3.2541,ADJ,ADJ
waarmee,3.2541,BW,ADV
wisten,3.2538,WW,VER
gezeten,3.2538,WW,VER
leger,3.2531,N,NOU
groter,3.2519,ADJ,ADJ
gauw,3.2514,ADJ,ADJ
liegt,3.2512,WW,VER
gepakt,3.2512,WW,VER
slaapt,3.2502,WW,VER
bank,3.2494,N,NOU
dachten,3.2492,WW,VER
sleutel,3.2487,N,NOU
ruzie,3.2485,N,NOU
heer,3.2472,N,NOU
gezin,3.2465,N,NOU
geschreven,3.2455,WW,VER
voeten,3.2455,N,NOU
schoenen,3.2453,N,NOU
betere,3.2445,ADJ,ADJ
bewegen,3.244,WW,VER
slag,3.2438,N,NOU
moordenaar,3.2428,N,NOU
enig,3.2428,VNW,PRO
levend,3.242,WW,VER
last,3.242,N,NOU
seconden,3.2415,N,NOU
schrijf,3.2413,WW,VER
duren,3.2405,WW,VER
aangenaam,3.2403,ADJ,ADJ
verdomde,3.24,ADJ,ADJ
band,3.2398,N,NOU
speciale,3.2398,ADJ,ADJ
belt,3.2395,WW,VER
waarop,3.2395,BW,ADV
zagen,3.239,WW,VER
zware,3.2385,ADJ,ADJ
simpel,3.2383,ADJ,ADJ
angst,3.2378,N,NOU
muur,3.2378,N,NOU
gestorven,3.237,WW,VER
verschil,3.2368,N,NOU
dode,3.236,ADJ,ADJ
verandert,3.2355,WW,VER
ontdekt,3.2343,WW,VER
stukje,3.2343,N,NOU
bureau,3.2338,N,NOU
doorgaan,3.2338,WW,VER
pistool,3.233,N,NOU
links,3.233,ADJ,ADJ
noemt,3.2327,WW,VER
bestaan,3.2325,WW,VER
gestopt,3.2317,WW,VER
bedoelde,3.2299,WW,VER
indruk,3.2287,N,NOU
kaart,3.2284,N,NOU
boel,3.2281,N,NOU
oh,3.2276,INT,INT
achteruit,3.2263,BW,ADV
spul,3.2258,N,NOU
huwelijk,3.2248,N,NOU
kort,3.2248,ADJ,ADJ
rekening,3.2245,N,NOU
bedanken,3.2243,WW,VER
wagen,3.224,N,NOU
kennis,3.2238,N,NOU
nadenken,3.2238,WW,VER
glas,3.2235,N,NOU
verlies,3.2235,N,NOU
sprak,3.2227,WW,VER
lift,3.2225,N,NOU
hotel,3.2222,N,NOU
gesloten,3.2206,WW,VER
lol,3.2204,N,NOU
geholpen,3.2198,WW,VER
wet,3.2188,N,NOU
les,3.2188,N,NOU
geweten,3.2183,WW,VER
allen,3.2167,VNW,PRO
leer,3.2162,WW,VER
passen,3.2159,WW,VER
seks,3.2156,N,NOU
zorgt,3.2146,WW,VER
vlak,3.2135,BW,ADV
stelen,3.2133,WW,VER
draait,3.2133,WW,VER
pap,3.213,N,NOU
gewone,3.213,ADJ,ADJ
waarvan,3.213,BW,ADV
bezorgd,3.2127,ADJ,ADJ
verkocht,3.2122,WW,VER
gooien,3.2122,WW,VER
maat,3.2119,N,NOU
godsnaam,3.2114,N,NOU
kont,3.2109,N,NOU
langzaam,3.2101,ADJ,ADJ
midden,3.2095,BW,ADV
toevallig,3.2079,ADJ,ADJ
vertrek,3.2076,N,NOU
durf,3.2076,WW,VER
boeken,3.2074,N,NOU
lijst,3.2074,N,NOU
tijden,3.2071,N,NOU
amerika,3.2057,N,NOU
gepraat,3.2052,WW,VER
vanmorgen,3.2049,BW,ADV
gestoord,3.2044,WW,VER
speciaal,3.2041,ADJ,ADJ
lul,3.2038,N,NOU
dichtbij,3.2038,ADJ,ADJ
leef,3.2038,WW,VER
bericht,3.2025,N,NOU
boodschap,3.2025,N,NOU
adem,3.2025,N,NOU
twintig,3.2022,ADJ,ADJ
zwart,3.2011,ADJ,ADJ
terecht,3.2006,ADJ,ADJ
adres,3.2003,N,NOU
aantal,3.2003,N,NOU
armen,3.2,N,NOU
waarover,3.1998,BW,ADV
draag,3.1992,WW,VER
dankzij,3.1992,VZ,PRP
draaien,3.1987,WW,VER
luistert,3.1978,WW,VER
trap,3.1973,N,NOU
ervaring,3.1973,N,NOU
totaal,3.197,ADJ,ADJ
noemde,3.1967,WW,VER
zocht,3.1953,WW,VER
steek,3.194,WW,VER
gebied,3.1937,N,NOU
vliegtuig,3.1934,N,NOU
ineens,3.1934,BW,ADV
excuses,3.1934,N,NOU
welterusten,3.1923,N,NOU
hoge,3.1923,ADJ,ADJ
rode,3.1915,ADJ,ADJ
gebouw,3.1906,N,NOU
slot,3.1903,N,NOU
huilen,3.1901,WW,VER
schoon,3.1901,ADJ,ADJ
bereid,3.1901,ADJ,ADJ
belangrijke,3.1898,ADJ,ADJ
erachter,3.1898,BW,ADV
leidt,3.1895,WW,VER
winkel,3.1889,N,NOU
roep,3.1889,WW,VER
vieren,3.1889,WW,VER
wens,3.1886,N,NOU
positie,3.1878,N,NOU
betaalt,3.187,WW,VER
betrokken,3.1861,WW,VER
hoek,3.1853,N,NOU
koop,3.185,WW,VER
volledig,3.1844,ADJ,ADJ
vaker,3.1841,ADJ,ADJ
oom,3.1838,N,NOU
vlees,3.1838,N,NOU
rechts,3.1833,ADJ,ADJ
raakte,3.183,WW,VER
vlucht,3.1827,N,NOU
zakken,3.181,WW,VER
teveel,3.1804,VNW,PRO
keuken,3.1796,N,NOU
binnenkort,3.1796,BW,ADV
past,3.179,WW,VER
dol,3.1787,ADJ,ADJ
geslagen,3.1787,WW,VER
plaatsen,3.1787,N,NOU
breken,3.1787,WW,VER
geniet,3.1778,WW,VER
amerikaanse,3.1775,ADJ,ADJ
dr,3.1764,N,NOU
drugs,3.1764,N,NOU
ophalen,3.1764,WW,VER
waarin,3.1761,BW,ADV
held,3.1755,N,NOU
gevangen,3.1752,WW,VER
eikel,3.1746,N,NOU
hopen,3.1738,WW,VER
besloten,3.1729,WW,VER
beiden,3.172,VNW,PRO
grap,3.1711,N,NOU
ontsnappen,3.1708,WW,VER
gegeten,3.1708,WW,VER
kosten,3.1708,WW,VER
vrede,3.1697,N,NOU
betekenen,3.1697,WW,VER
honderd,3.1691,ADJ,ADJ
rare,3.1691,ADJ,ADJ
gasten,3.1688,N,NOU
enorm,3.1685,ADJ,ADJ
gebleven,3.1685,WW,VER
geschiedenis,3.1682,N,NOU
sloeg,3.167,WW,VER
sommigen,3.1664,VNW,PRO
bedacht,3.1661,WW,VER
stoel,3.1652,N,NOU
sterft,3.1652,WW,VER
bedrijf,3.1649,N,NOU
gezocht,3.1649,WW,VER
lach,3.1647,WW,VER
bezit,3.1647,N,NOU
bespreken,3.1644,WW,VER
feestje,3.1641,N,NOU
bevalt,3.1641,WW,VER
verantwoordelijk,3.1638,ADJ,ADJ
richting,3.1632,N,NOU
gemeen,3.1632,ADJ,ADJ
leeftijd,3.1632,N,NOU
lot,3.1629,N,NOU
ouder,3.1623,ADJ,ADJ
onmiddellijk,3.162,ADJ,ADJ
overkomen,3.1608,WW,VER
rijdt,3.1602,WW,VER
heus,3.1596,ADJ,ADJ
rook,3.1593,N,NOU
terugkomen,3.1593,WW,VER
tevreden,3.159,ADJ,ADJ
goedenavond,3.1587,ADJ,ADJ
opeens,3.1587,BW,ADV
vergeef,3.1575,WW,VER
oren,3.1575,N,NOU
zelfmoord,3.1572,N,NOU
voet,3.1572,N,NOU
mist,3.1572,WW,VER
dak,3.1569,N,NOU
gast,3.1565,N,NOU
enorme,3.1562,ADJ,ADJ
meiden,3.1559,N,NOU
krant,3.1556,N,NOU
vakantie,3.155,N,NOU
afgesproken,3.1544,WW,VER
bedoeling,3.1541,N,NOU
risico,3.1535,N,NOU
tekenen,3.1529,WW,VER
bijzonder,3.1523,ADJ,ADJ
betreft,3.152,WW,VER
sleutels,3.1511,N,NOU
overleven,3.1508,WW,VER
brief,3.1504,N,NOU
partner,3.1501,N,NOU
afmaken,3.1501,WW,VER
onderzoeken,3.1498,WW,VER
schoot,3.1492,WW,VER
beurt,3.1492,N,NOU
nagedacht,3.1492,WW,VER
schijnt,3.1489,WW,VER
beweging,3.1486,N,NOU
ontvangen,3.1483,WW,VER
feit,3.1483,N,NOU
halve,3.1483,ADJ,ADJ
bevel,3.148,N,NOU
begraven,3.1474,WW,VER
momentje,3.1474,N,NOU
vele,3.1474,VNW,PRO
werkelijk,3.1471,ADJ,ADJ
ware,3.1464,ADJ,ADJ
witte,3.1461,ADJ,ADJ
trekt,3.1461,WW,VER
rusten,3.1455,WW,VER
twaalf,3.1452,ADJ,ADJ
snapt,3.1452,WW,VER
reken,3.1449,WW,VER
vriendje,3.1436,N,NOU
tegenhouden,3.143,WW,VER
verdwijnen,3.1427,WW,VER
gat,3.1421,N,NOU
geluid,3.1421,N,NOU
toestemming,3.1418,N,NOU
minuut,3.1418,N,NOU
been,3.1414,N,NOU
verschillende,3.1408,ADJ,ADJ
volgt,3.1408,WW,VER
wonder,3.1399,N,NOU
zee,3.1386,N,NOU
mooiste,3.1386,ADJ,ADJ
wijn,3.1383,N,NOU
ontslagen,3.138,WW,VER
blauwe,3.138,ADJ,ADJ
uren,3.1374,N,NOU
tas,3.137,N,NOU
trouw,3.1364,N,NOU
gevoelens,3.1361,N,NOU
wint,3.1358,WW,VER
vertrokken,3.1358,WW,VER
gedoe,3.1358,N,NOU
shit,3.1351,N,NOU
genoegen,3.1351,N,NOU
engels,3.1342,N,NOU
lukken,3.1335,WW,VER
vijand,3.1332,N,NOU
bar,3.1329,N,NOU
verklaring,3.1326,N,NOU
kussen,3.1319,WW,VER
rood,3.1316,ADJ,ADJ
volwassen,3.1316,ADJ,ADJ
veiligheid,3.1313,N,NOU
boot,3.131,N,NOU
lui,3.131,N,NOU
behoorlijk,3.131,ADJ,ADJ
eeuwig,3.1294,ADJ,ADJ
beslissing,3.129,N,NOU
genoemd,3.129,WW,VER
ontbijt,3.1287,N,NOU
stopt,3.1284,WW,VER
weekend,3.1274,N,NOU
gelogen,3.1274,WW,VER
ochtend,3.1274,N,NOU
belangrijkste,3.1274,ADJ,ADJ
kus,3.1271,N,NOU
wind,3.1268,N,NOU
ijs,3.1258,N,NOU
springen,3.1258,WW,VER
verboden,3.1252,WW,VER
dikke,3.1248,ADJ,ADJ
orde,3.1245,N,NOU
ruikt,3.1242,WW,VER
meegemaakt,3.1235,WW,VER
vorm,3.1232,N,NOU
gratis,3.1225,ADJ,ADJ
taak,3.1225,N,NOU
bedenken,3.1225,WW,VER
keren,3.1212,N,NOU
bal,3.1209,N,NOU
bus,3.1209,N,NOU
geheime,3.1209,ADJ,ADJ
tanden,3.1199,N,NOU
agenten,3.1196,N,NOU
kerk,3.1193,N,NOU
zingen,3.1193,WW,VER
opdracht,3.1186,N,NOU
opnemen,3.1186,WW,VER
spoor,3.1183,N,NOU
flink,3.1183,ADJ,ADJ
bepaalde,3.1179,ADJ,ADJ
fijne,3.1173,ADJ,ADJ
opstaan,3.1166,WW,VER
der,3.1163,LID,DET
bier,3.1156,N,NOU
kerels,3.1156,N,NOU
nerveus,3.1156,ADJ,ADJ
dik,3.1153,ADJ,ADJ
antwoorden,3.1153,N,NOU
erom,3.1153,BW,ADV
verlaat,3.1133,WW,VER
paard,3.1109,N,NOU
reet,3.1106,N,NOU
kilometer,3.1103,N,NOU
ergste,3.1096,ADJ,ADJ
uitstekend,3.1092,ADJ,ADJ
verpest,3.1086,WW,VER
uitzoeken,3.1086,WW,VER
slachtoffer,3.1082,N,NOU
afstand,3.1082,N,NOU
vrijheid,3.1079,N,NOU
fles,3.1075,N,NOU
opzij,3.1075,BW,ADV
gekozen,3.1075,WW,VER
vertrekt,3.1075,WW,VER
overleden,3.1065,WW,VER
onschuldig,3.1062,ADJ,ADJ
voeren,3.1059,WW,VER
rol,3.1055,N,NOU
wijs,3.1055,ADJ,ADJ
steken,3.1052,WW,VER
thee,3.1045,N,NOU
paniek,3.1045,N,NOU
klote,3.1038,ADJ,ADJ
jaloers,3.1038,ADJ,ADJ
kregen,3.1038,WW,VER
verschrikkelijk,3.1035,ADJ,ADJ
bouwen,3.1031,WW,VER
kapitein,3.1028,N,NOU
mrs,3.1028,N,NOU
zwanger,3.1024,ADJ,ADJ
jas,3.1024,N,NOU
verstand,3.1024,N,NOU
geslapen,3.1021,WW,VER
eenmaal,3.1017,BW,ADV
aandoen,3.1014,WW,VER
pad,3.1011,N,NOU
rechter,3.1007,N,NOU
gedrag,3.1007,N,NOU
vrije,3.1007,ADJ,ADJ
verwachten,3.1004,WW,VER
schreef,3.098,WW,VER
wezen,3.098,WW,VER
hoer,3.0976,N,NOU
heette,3.0976,WW,VER
camera,3.0969,N,NOU
verdorie,3.0969,N,NOU
bijvoorbeeld,3.0969,BW,ADV
jurk,3.0966,N,NOU
perfecte,3.0966,ADJ,ADJ
s,3.0962,N,NOU
da's,3.0959,VG,CON
zuster,3.0959,N,NOU
volk,3.0955,N,NOU
domme,3.0955,ADJ,ADJ
hoopte,3.0952,WW,VER
deal,3.0948,N,NOU
ontsnapt,3.0948,WW,VER
roken,3.0941,WW,VER
spelletje,3.0941,N,NOU
gezelschap,3.0941,N,NOU
gedragen,3.0941,WW,VER
gekke,3.0938,ADJ,ADJ
jouwe,3.0938,VNW,PRO
radio,3.0934,N,NOU
harder,3.0934,ADJ,ADJ
lunch,3.0931,N,NOU
verdiend,3.0927,WW,VER
verhalen,3.0924,N,NOU
kleur,3.092,N,NOU
vingers,3.0917,N,NOU
hiervan,3.0917,BW,ADV
vergeven,3.091,WW,VER
controleren,3.091,WW,VER
aardige,3.0903,ADJ,ADJ
strijd,3.0896,N,NOU
dankbaar,3.0896,ADJ,ADJ
bek,3.0892,N,NOU
papieren,3.0892,N,NOU
leiding,3.0892,N,NOU
levens,3.0888,N,NOU
oplossing,3.0885,N,NOU
beeld,3.0881,N,NOU
dichterbij,3.0878,ADJ,ADJ
tonen,3.0878,WW,VER
wraak,3.0874,N,NOU
geschoten,3.0874,WW,VER
vriendelijk,3.0867,ADJ,ADJ
ls,3.0864,N,NOU
pakt,3.0864,WW,VER
koning,3.086,N,NOU
ruim,3.086,ADJ,ADJ
aangedaan,3.086,WW,VER
moed,3.0856,N,NOU
voorkomen,3.0856,WW,VER
duur,3.0849,ADJ,ADJ
gerust,3.0849,ADJ,ADJ
gevolgd,3.0846,WW,VER
speelde,3.0842,WW,VER
reed,3.0839,WW,VER
huid,3.0831,N,NOU
ten,3.0831,VZ,PRP
geloofde,3.0831,WW,VER
bloemen,3.0824,N,NOU
jazeker,3.0824,N,NOU
gemakkelijk,3.0824,ADJ,ADJ
vorig,3.0821,ADJ,ADJ
cel,3.0813,N,NOU
tegenwoordig,3.0813,ADJ,ADJ
beest,3.081,N,NOU
binnenkomen,3.081,WW,VER
boom,3.0806,N,NOU
type,3.0806,N,NOU
wiens,3.0806,VNW,PRO
meent,3.0785,WW,VER
gelaten,3.0781,WW,VER
zwak,3.077,ADJ,ADJ
geweld,3.0766,N,NOU
twijfel,3.0766,N,NOU
verjaardag,3.0759,N,NOU
sukkel,3.0759,N,NOU
gearresteerd,3.0759,WW,VER
sterke,3.0752,ADJ,ADJ
bepaald,3.0752,ADJ,ADJ
monster,3.0748,N,NOU
vreselijke,3.0748,ADJ,ADJ
roepen,3.0745,WW,VER
gewacht,3.0734,WW,VER
lenen,3.073,WW,VER
hartelijk,3.0726,ADJ,ADJ
openen,3.0726,WW,VER
vernietigen,3.0719,WW,VER
lijden,3.0719,WW,VER
sterker,3.0719,ADJ,ADJ
redt,3.0719,WW,VER
mes,3.0715,N,NOU
verraden,3.0715,WW,VER
president,3.0711,N,NOU
misdaad,3.0711,N,NOU
actie,3.0711,N,NOU
getuigen,3.0704,N,NOU
stappen,3.0704,WW,VER
verbergen,3.07,WW,VER
getuige,3.0697,N,NOU
neergeschoten,3.0693,WW,VER
kies,3.0689,WW,VER
geduld,3.0682,N,NOU
compleet,3.0678,ADJ,ADJ
verliest,3.0678,WW,VER
ballen,3.0674,N,NOU
details,3.0671,N,NOU
klas,3.0667,N,NOU
dieren,3.066,N,NOU
manieren,3.0656,N,NOU
stuurt,3.0656,WW,VER
bad,3.0648,N,NOU
troep,3.0648,N,NOU
vandoor,3.0648,BW,ADV
sporen,3.0641,N,NOU
vermoordt,3.0641,WW,VER
trein,3.0637,N,NOU
duizend,3.0637,ADJ,ADJ
bekijk,3.063,WW,VER
nauwelijks,3.063,BW,ADV
taxi,3.0626,N,NOU
blik,3.0626,N,NOU
rekenen,3.0626,WW,VER
bieden,3.0622,WW,VER
systeem,3.0611,N,NOU
auto's,3.0607,N,NOU
persoonlijke,3.0607,ADJ,ADJ
knul,3.0603,N,NOU
waardoor,3.0599,BW,ADV
hiervoor,3.0596,BW,ADV
uitgenodigd,3.0592,WW,VER
oma,3.0584,N,NOU
toilet,3.0584,N,NOU
vecht,3.0577,WW,VER
geweer,3.0569,N,NOU
aanval,3.0565,N,NOU
beslist,3.0554,WW,VER
harde,3.0554,ADJ,ADJ
start,3.055,N,NOU
verkoop,3.0546,WW,VER
oplossen,3.0546,WW,VER
ernstig,3.0542,ADJ,ADJ
gebruikte,3.0542,WW,VER
vaders,3.0535,N,NOU
makkelijker,3.0531,ADJ,ADJ
vangen,3.0527,WW,VER
ervandoor,3.0527,BW,ADV
schoonheid,3.0523,N,NOU
kogel,3.0519,N,NOU
ondanks,3.0519,VZ,PRP
toon,3.0515,N,NOU
mening,3.0515,N,NOU
stuurde,3.0515,WW,VER
vervelend,3.0512,ADJ,ADJ
club,3.0508,N,NOU
drankje,3.0504,N,NOU
gedronken,3.05,WW,VER
cool,3.0496,ADJ,ADJ
stilte,3.0492,N,NOU
vluchten,3.0492,WW,VER
afscheid,3.0492,N,NOU
hoewel,3.0492,VG,CON
tegenover,3.0492,VZ,PRP
leert,3.0488,WW,VER
korte,3.0484,ADJ,ADJ
wedstrijd,3.0477,N,NOU
tent,3.0477,N,NOU
taal,3.0477,N,NOU
morgenochtend,3.0477,BW,ADV
interesseert,3.0477,WW,VER
genieten,3.0477,WW,VER
vlug,3.0473,ADJ,ADJ
geïnteresseerd,3.0473,WW,VER
vasthouden,3.0469,WW,VER
vergissing,3.0465,N,NOU
boord,3.0457,N,NOU
donder,3.0457,WW,VER
leugenaar,3.0457,N,NOU
hoger,3.0457,ADJ,ADJ
regering,3.0445,N,NOU
waarheen,3.0426,BW,ADV
advies,3.0422,N,NOU
rivier,3.0418,N,NOU
gewend,3.0418,WW,VER
straf,3.0414,N,NOU
erheen,3.0414,BW,ADV
aankomen,3.0414,WW,VER
hielp,3.041,WW,VER
leider,3.0406,N,NOU
duizenden,3.0406,N,NOU
stukken,3.0406,N,NOU
drank,3.0402,N,NOU
vis,3.0398,N,NOU
ideeën,3.0398,N,NOU
verborgen,3.0394,WW,VER
honden,3.039,N,NOU
belang,3.039,N,NOU
m,3.0386,N,NOU
leerde,3.0386,WW,VER
eenvoudig,3.0386,ADJ,ADJ
achtergelaten,3.0386,WW,VER
bak,3.037,N,NOU
rotzooi,3.0362,N,NOU
duivel,3.0358,N,NOU
klanten,3.0358,N,NOU
akkoord,3.0354,ADJ,ADJ
ma,3.0342,N,NOU
fouten,3.0342,N,NOU
netjes,3.0338,ADJ,ADJ
verstopt,3.0334,WW,VER
aannemen,3.0326,WW,VER
volle,3.0314,ADJ,ADJ
kwestie,3.0314,N,NOU
gezond,3.031,ADJ,ADJ
show,3.0306,N,NOU
missie,3.0298,N,NOU
computer,3.0286,N,NOU
gedachte,3.0286,N,NOU
groeten,3.0282,N,NOU
test,3.0273,N,NOU
beslissen,3.0273,WW,VER
gekeken,3.0273,WW,VER
vrijdag,3.0269,N,NOU
droeg,3.0265,WW,VER
gaven,3.0261,WW,VER
ontmoette,3.0261,WW,VER
bereikt,3.0257,WW,VER
moeders,3.0253,N,NOU
raden,3.0253,WW,VER
brand,3.0249,N,NOU
gekend,3.0249,WW,VER
john,3.0245,N,NOU
eigenaar,3.0245,N,NOU
favoriete,3.0245,ADJ,ADJ
woonde,3.0241,WW,VER
overkomt,3.0241,WW,VER
r,3.0237,N,NOU
moorden,3.0237,N,NOU
zonde,3.0237,N,NOU
motor,3.0233,N,NOU
opgeven,3.0233,WW,VER
jagen,3.022,WW,VER
vloer,3.022,N,NOU
blijkt,3.022,WW,VER
wit,3.0216,ADJ,ADJ
terugkomt,3.0216,WW,VER
operatie,3.0212,N,NOU
achterlaten,3.0212,WW,VER
heilige,3.0208,ADJ,ADJ
voorlopig,3.0199,ADJ,ADJ
gevecht,3.0195,N,NOU
procent,3.0195,N,NOU
reizen,3.0191,WW,VER
streek,3.0191,N,NOU
schade,3.0191,N,NOU
schip,3.0187,N,NOU
steun,3.0183,N,NOU
publiek,3.0175,N,NOU
top,3.0175,N,NOU
vanmiddag,3.0175,BW,ADV
carrière,3.017,N,NOU
tante,3.0166,N,NOU
zomer,3.0166,N,NOU
lieg,3.0158,WW,VER
doorheen,3.0158,VZ,PRP
sterf,3.0154,WW,VER
ster,3.0145,N,NOU
verloor,3.0145,WW,VER
restaurant,3.0141,N,NOU
melk,3.0133,N,NOU
deuren,3.0128,N,NOU
slachtoffers,3.0124,N,NOU
talent,3.0124,N,NOU
herken,3.0124,WW,VER
schreeuwen,3.012,WW,VER
schrikken,3.012,WW,VER
opzoeken,3.012,WW,VER
telefoontje,3.0111,N,NOU
aanvallen,3.0107,WW,VER
neuken,3.0099,WW,VER
herinnert,3.0099,WW,VER
knappe,3.0099,ADJ,ADJ
saai,3.0095,ADJ,ADJ
logisch,3.0095,ADJ,ADJ
tegelijk,3.0095,BW,ADV
bedoeld,3.0095,WW,VER
behandelen,3.009,WW,VER
cent,3.0082,N,NOU
interesse,3.0082,N,NOU
schrijft,3.0077,WW,VER
landen,3.0069,N,NOU
energie,3.0069,N,NOU
bidden,3.0069,WW,VER
eenzaam,3.0069,ADJ,ADJ
daarheen,3.0069,BW,ADV
eng,3.0065,ADJ,ADJ
gelul,3.006,N,NOU
leefde,3.006,WW,VER
daarin,3.006,BW,ADV
blauw,3.0056,ADJ,ADJ
verdien,3.0056,WW,VER
arresteren,3.0052,WW,VER
ruik,3.0048,WW,VER
telt,3.0048,WW,VER
nogmaals,3.0043,BW,ADV
lekkere,3.0039,ADJ,ADJ
vaarwel,3.003,ADJ,ADJ
goud,3.0026,N,NOU
vissen,3.0026,N,NOU
laag,3.0026,ADJ,ADJ
blind,3.0017,ADJ,ADJ
normale,3.0013,ADJ,ADJ
stelletje,3.0009,N,NOU
hang,3.0009,WW,VER
post,3.0004,N,NOU
miljoenen,3.0004,N,NOU
dwars,3.0004,ADJ,ADJ
koken,3,WW,VER
slaapkamer,2.9996,N,NOU
ring,2.9987,N,NOU
smaak,2.9987,N,NOU
lid,2.9983,N,NOU
nachtmerrie,2.9983,N,NOU
neef,2.9978,N,NOU
officieel,2.9978,ADJ,ADJ
zwemmen,2.9974,WW,VER
drinkt,2.9974,WW,VER
kat,2.9969,N,NOU
doos,2.9965,N,NOU
klap,2.9965,N,NOU
bovendien,2.9965,BW,ADV
